index,dataset,prompt,iou,dice,precision,recall,gt_coverage
398,drywall,segment taping area,0.822288,0.902479,0.879408,0.926793,1.31
321,drywall,segment taping area,0.825534,0.904430,0.851858,0.963918,5.41
76,drywall,segment taping area,0.825840,0.904614,0.920420,0.889341,15.42
261,drywall,segment taping area,0.828840,0.906411,0.834528,0.991844,18.83
86,drywall,segment taping area,0.829339,0.906709,0.836604,0.989638,11.47
21,drywall,segment taping area,0.830080,0.907151,0.995176,0.833433,21.15
195,drywall,segment taping area,0.831572,0.908042,0.976039,0.848902,7.02
351,drywall,segment taping area,0.831930,0.908255,0.844452,0.982488,16.23
359,drywall,segment taping area,0.832852,0.908804,0.967679,0.856683,3.94
241,drywall,segment taping area,0.836621,0.911043,0.846567,0.986152,18.83
382,drywall,segment taping area,0.836892,0.911205,0.904197,0.918322,13.47
197,drywall,segment taping area,0.837375,0.911491,0.985637,0.847719,10.87
122,drywall,segment taping area,0.837638,0.911646,0.894127,0.929866,18.00
400,drywall,segment taping area,0.838354,0.912070,0.839876,0.997843,18.79
88,drywall,segment taping area,0.838381,0.912086,0.908718,0.915479,20.15
47,drywall,segment taping area,0.838690,0.912269,0.893498,0.931845,7.79
377,drywall,segment taping area,0.838983,0.912442,0.873961,0.954468,6.48
35,drywall,segment taping area,0.840480,0.913327,0.845397,0.993129,30.84
354,drywall,segment taping area,0.840529,0.913356,0.884201,0.944498,19.70
206,cracks,segment crack,0.840989,0.913627,0.906342,0.921030,5.21
325,drywall,segment taping area,0.842966,0.914793,0.982658,0.855696,15.33
184,drywall,segment taping area,0.843546,0.915134,0.846986,0.995208,4.69
303,drywall,segment taping area,0.844091,0.915455,0.849589,0.992391,31.86
334,drywall,segment taping area,0.846569,0.916910,0.962460,0.875477,6.66
11,cracks,segment crack,0.847106,0.917225,0.892195,0.943701,2.39
389,drywall,segment taping area,0.847823,0.917645,0.924839,0.910563,3.23
29,drywall,segment taping area,0.848732,0.918177,0.929468,0.907158,4.01
